10.169	0	0
9.169	0	0.0555556
9.169	0	0.0555556
8.912	0	0.111111
8.421	0	0.166667
7.711	0	0.222222
7.18	0	0.333333
5.532	0	0.388889
5.13	0	0.444444
4.907	0.0714286	0.444444
4.569	0.0714286	0.5
4.525	0.142857	0.555556
4.416	0.142857	0.611111
4.175	0.214286	0.611111
3.811	0.214286	0.666667
3.28	0.214286	0.722222
2.92	0.285714	0.722222
0.79	0.357143	0.722222
0.567	0.357143	0.777778
0.516	0.357143	0.833333
0.415	0.357143	0.888889
0.261	0.428571	0.888889
-1.05	0.5	0.944444
-1.739	0.571429	0.944444
-2.461	0.642857	0.944444
-2.893	0.714286	0.944444
-3.044	0.785714	0.944444
-4.924	0.857143	0.944444
-6.098	0.928571	0.944444
-6.304	0.928571	1
-8.434	1	1
