10.308	0	0
9.308	0	0.0555556
9.308	0	0.0555556
8.763	0	0.111111
8.182	0	0.166667
7.462	0	0.222222
7.151	0	0.277778
6.777	0	0.388889
5.545	0	0.444444
5.197	0.0714286	0.444444
4.964	0.0714286	0.5
4.616	0.142857	0.555556
4.021	0.214286	0.555556
4.02	0.214286	0.611111
3.091	0.214286	0.666667
2.717	0.214286	0.722222
2.707	0.285714	0.722222
0.641	0.357143	0.722222
0.556	0.357143	0.777778
0.471	0.357143	0.833333
0.293	0.357143	0.888889
0.052	0.428571	0.888889
-0.722	0.5	0.944444
-1.123	0.571429	0.944444
-2.203	0.642857	0.944444
-2.561	0.714286	0.944444
-2.923	0.785714	0.944444
-3.64	0.785714	1
-4.757	0.857143	1
-5.619	0.928571	1
-7.85	1	1
