ovo_Q6 5 0 1	1	0.491429	25	0
ovo_Q6 5 0 1	2	0.491429	25	0
ovo_Q6 5 0 1	3	0.491429	25	0
ovo_Q6_no_cons 5 0 1	1	0.488571	25	0
ovo_Q6_no_cons 5 0 1	2	0.488571	25	0
ovo_Q6_no_cons 5 0 1	3	0.488571	25	0
ovo_Q6 5 1 1	1	0.511429	25	0
ovo_Q6 5 1 1	2	0.511429	25	0
ovo_Q6 5 1 1	3	0.511429	25	0
ovo_Q6_no_cons 5 1 1	1	0.492857	25	0
ovo_Q6_no_cons 5 1 1	2	0.492857	25	0
ovo_Q6_no_cons 5 1 1	3	0.492857	25	0
ovo_Q6 5 2 1	1	0.545714	25	0
ovo_Q6 5 2 1	2	0.545714	25	0
ovo_Q6 5 2 1	3	0.545714	25	1
ovo_Q6_no_cons 5 2 1	1	0.5	25	0
ovo_Q6_no_cons 5 2 1	2	0.5	25	0
ovo_Q6_no_cons 5 2 1	3	0.5	25	1
ovo_Q6 5 3 1	1	0.585714	24	0
ovo_Q6 5 3 1	2	0.585714	24	1
ovo_Q6 5 3 1	3	0.585714	19	1
ovo_Q6_no_cons 5 3 1	1	0.538571	25	0
ovo_Q6_no_cons 5 3 1	2	0.538571	25	1
ovo_Q6_no_cons 5 3 1	3	0.538571	23	1
ovo_Q6 5 4 1	1	0.611429	24	0
ovo_Q6 5 4 1	2	0.611429	21	2
ovo_Q6 5 4 1	3	0.611429	11	4
ovo_Q6_no_cons 5 4 1	1	0.491429	25	0
ovo_Q6_no_cons 5 4 1	2	0.491429	22	1
ovo_Q6_no_cons 5 4 1	3	0.491429	19	1
ovo_Q6 5 5 1	1	0.632857	19	0
ovo_Q6 5 5 1	2	0.632857	11	7
ovo_Q6 5 5 1	3	0.632857	5	10
ovo_Q6_no_cons 5 5 1	1	0.624286	21	0
ovo_Q6_no_cons 5 5 1	2	0.624286	18	3
ovo_Q6_no_cons 5 5 1	3	0.624286	10	6
ovo_Q6 6 1 1	1	0.494286	25	0
ovo_Q6 6 1 1	2	0.494286	25	0
ovo_Q6 6 1 1	3	0.494286	25	0
ovo_Q6_no_cons 6 1 1	1	0.484286	25	0
ovo_Q6_no_cons 6 1 1	2	0.484286	25	0
ovo_Q6_no_cons 6 1 1	3	0.484286	25	0
ovo_Q6 6 2 1	1	0.56	25	0
ovo_Q6 6 2 1	2	0.56	25	0
ovo_Q6 6 2 1	3	0.56	25	1
ovo_Q6_no_cons 6 2 1	1	0.538571	25	0
ovo_Q6_no_cons 6 2 1	2	0.538571	25	0
ovo_Q6_no_cons 6 2 1	3	0.538571	25	1
ovo_Q6 6 3 1	1	0.581429	24	0
ovo_Q6 6 3 1	2	0.581429	24	1
ovo_Q6 6 3 1	3	0.581429	18	1
ovo_Q6_no_cons 6 3 1	1	0.545714	25	0
ovo_Q6_no_cons 6 3 1	2	0.545714	25	1
ovo_Q6_no_cons 6 3 1	3	0.545714	23	1
ovo_Q6 6 4 1	1	0.607143	23	0
ovo_Q6 6 4 1	2	0.607143	17	2
ovo_Q6 6 4 1	3	0.607143	11	5
ovo_Q6_no_cons 6 4 1	1	0.478571	25	0
ovo_Q6_no_cons 6 4 1	2	0.478571	24	1
ovo_Q6_no_cons 6 4 1	3	0.478571	18	2
ovo_Q6 6 5 1	1	0.625714	19	0
ovo_Q6 6 5 1	2	0.625714	11	7
ovo_Q6 6 5 1	3	0.625714	6	10
ovo_Q6_no_cons 6 5 1	1	0.635714	22	0
ovo_Q6_no_cons 6 5 1	2	0.635714	18	2
ovo_Q6_no_cons 6 5 1	3	0.635714	11	5
ovo_Q6 6 6 1	1	0.73	15	1
ovo_Q6 6 6 1	2	0.73	4	10
ovo_Q6 6 6 1	3	0.73	1	13
ovo_Q6_no_cons 6 6 1	1	0.588571	20	0
ovo_Q6_no_cons 6 6 1	2	0.588571	13	6
ovo_Q6_no_cons 6 6 1	3	0.588571	3	13
ovo_Q6 7 2 1	1	0.588571	25	0
ovo_Q6 7 2 1	2	0.588571	25	0
ovo_Q6 7 2 1	3	0.588571	25	1
ovo_Q6_no_cons 7 2 1	1	0.55	25	0
ovo_Q6_no_cons 7 2 1	2	0.55	25	0
ovo_Q6_no_cons 7 2 1	3	0.55	25	1
ovo_Q6 7 3 1	1	0.571429	24	0
ovo_Q6 7 3 1	2	0.571429	23	1
ovo_Q6 7 3 1	3	0.571429	18	3
ovo_Q6_no_cons 7 3 1	1	0.555714	25	0
ovo_Q6_no_cons 7 3 1	2	0.555714	25	1
ovo_Q6_no_cons 7 3 1	3	0.555714	22	1
ovo_Q6 7 4 1	1	0.618571	23	0
ovo_Q6 7 4 1	2	0.618571	14	2
ovo_Q6 7 4 1	3	0.618571	11	6
ovo_Q6_no_cons 7 4 1	1	0.502857	25	0
ovo_Q6_no_cons 7 4 1	2	0.502857	24	1
ovo_Q6_no_cons 7 4 1	3	0.502857	17	2
ovo_Q6 7 5 1	1	0.59	20	0
ovo_Q6 7 5 1	2	0.59	11	8
ovo_Q6 7 5 1	3	0.59	6	11
ovo_Q6_no_cons 7 5 1	1	0.605714	23	0
ovo_Q6_no_cons 7 5 1	2	0.605714	19	2
ovo_Q6_no_cons 7 5 1	3	0.605714	12	6
ovo_Q6 7 6 1	1	0.708571	15	1
ovo_Q6 7 6 1	2	0.708571	6	9
ovo_Q6 7 6 1	3	0.708571	2	13
ovo_Q6_no_cons 7 6 1	1	0.595714	20	0
ovo_Q6_no_cons 7 6 1	2	0.595714	14	5
ovo_Q6_no_cons 7 6 1	3	0.595714	3	13
ovo_Q6 7 7 1	1	0.674286	7	7
ovo_Q6 7 7 1	2	0.674286	1	11
ovo_Q6 7 7 1	3	0.674286	0	14
ovo_Q6_no_cons 7 7 1	1	0.674286	12	5
ovo_Q6_no_cons 7 7 1	2	0.674286	1	11
ovo_Q6_no_cons 7 7 1	3	0.674286	0	13
ovo_Q6 8 3 1	1	0.532857	24	0
ovo_Q6 8 3 1	2	0.532857	22	2
ovo_Q6 8 3 1	3	0.532857	17	3
ovo_Q6_no_cons 8 3 1	1	0.487143	25	0
ovo_Q6_no_cons 8 3 1	2	0.487143	24	1
ovo_Q6_no_cons 8 3 1	3	0.487143	22	1
ovo_Q6 8 4 1	1	0.625714	22	0
ovo_Q6 8 4 1	2	0.625714	14	2
ovo_Q6 8 4 1	3	0.625714	11	7
ovo_Q6_no_cons 8 4 1	1	0.505714	25	0
ovo_Q6_no_cons 8 4 1	2	0.505714	23	1
ovo_Q6_no_cons 8 4 1	3	0.505714	17	2
ovo_Q6 8 5 1	1	0.59	20	0
ovo_Q6 8 5 1	2	0.59	11	8
ovo_Q6 8 5 1	3	0.59	6	11
ovo_Q6_no_cons 8 5 1	1	0.58	23	0
ovo_Q6_no_cons 8 5 1	2	0.58	19	2
ovo_Q6_no_cons 8 5 1	3	0.58	12	6
ovo_Q6 8 6 1	1	0.708571	15	1
ovo_Q6 8 6 1	2	0.708571	6	9
ovo_Q6 8 6 1	3	0.708571	2	13
ovo_Q6_no_cons 8 6 1	1	0.595714	20	0
ovo_Q6_no_cons 8 6 1	2	0.595714	14	5
ovo_Q6_no_cons 8 6 1	3	0.595714	3	13
ovo_Q6 8 7 1	1	0.674286	7	7
ovo_Q6 8 7 1	2	0.674286	1	11
ovo_Q6 8 7 1	3	0.674286	0	14
ovo_Q6_no_cons 8 7 1	1	0.674286	12	5
ovo_Q6_no_cons 8 7 1	2	0.674286	1	11
ovo_Q6_no_cons 8 7 1	3	0.674286	0	13
ovo_Q6 8 8 1	1	0.5	0	14
ovo_Q6 8 8 1	2	0.5	0	14
ovo_Q6 8 8 1	3	0.5	0	14
ovo_Q6_no_cons 8 8 1	1	0.5	0	14
ovo_Q6_no_cons 8 8 1	2	0.5	0	14
ovo_Q6_no_cons 8 8 1	3	0.5	0	14
ovo_Q6 9 4 1	1	0.622857	21	0
ovo_Q6 9 4 1	2	0.622857	13	3
ovo_Q6 9 4 1	3	0.622857	10	9
ovo_Q6_no_cons 9 4 1	1	0.508571	25	0
ovo_Q6_no_cons 9 4 1	2	0.508571	21	1
ovo_Q6_no_cons 9 4 1	3	0.508571	17	2
ovo_Q6 9 5 1	1	0.605714	19	0
ovo_Q6 9 5 1	2	0.605714	11	8
ovo_Q6 9 5 1	3	0.605714	5	11
ovo_Q6_no_cons 9 5 1	1	0.58	23	0
ovo_Q6_no_cons 9 5 1	2	0.58	19	2
ovo_Q6_no_cons 9 5 1	3	0.58	12	6
ovo_Q6 9 6 1	1	0.69	16	1
ovo_Q6 9 6 1	2	0.69	6	9
ovo_Q6 9 6 1	3	0.69	3	13
ovo_Q6_no_cons 9 6 1	1	0.627143	21	0
ovo_Q6_no_cons 9 6 1	2	0.627143	15	4
ovo_Q6_no_cons 9 6 1	3	0.627143	4	11
ovo_Q6 9 7 1	1	0.731429	8	5
ovo_Q6 9 7 1	2	0.731429	1	11
ovo_Q6 9 7 1	3	0.731429	0	13
ovo_Q6_no_cons 9 7 1	1	0.755714	15	2
ovo_Q6_no_cons 9 7 1	2	0.755714	1	10
ovo_Q6_no_cons 9 7 1	3	0.755714	0	13
ovo_Q6 9 8 1	1	0.5	0	14
ovo_Q6 9 8 1	2	0.5	0	14
ovo_Q6 9 8 1	3	0.5	0	14
ovo_Q6_no_cons 9 8 1	1	0.5	0	14
ovo_Q6_no_cons 9 8 1	2	0.5	0	14
ovo_Q6_no_cons 9 8 1	3	0.5	0	14
ovo_Q6 9 9 1	1	0.5	0	14
ovo_Q6 9 9 1	2	0.5	0	14
ovo_Q6 9 9 1	3	0.5	0	14
ovo_Q6_no_cons 9 9 1	1	0.5	0	14
ovo_Q6_no_cons 9 9 1	2	0.5	0	14
ovo_Q6_no_cons 9 9 1	3	0.5	0	14
ovo_Q6 10 5 1	1	0.5	0	14
ovo_Q6 10 5 1	2	0.5	0	14
ovo_Q6 10 5 1	3	0.5	0	14
ovo_Q6_no_cons 10 5 1	1	0.5	0	14
ovo_Q6_no_cons 10 5 1	2	0.5	0	14
ovo_Q6_no_cons 10 5 1	3	0.5	0	14
ovo_Q6 10 6 1	1	0.5	0	14
ovo_Q6 10 6 1	2	0.5	0	14
ovo_Q6 10 6 1	3	0.5	0	14
ovo_Q6_no_cons 10 6 1	1	0.5	0	14
ovo_Q6_no_cons 10 6 1	2	0.5	0	14
ovo_Q6_no_cons 10 6 1	3	0.5	0	14
ovo_Q6 10 7 1	1	0.5	0	14
ovo_Q6 10 7 1	2	0.5	0	14
ovo_Q6 10 7 1	3	0.5	0	14
ovo_Q6_no_cons 10 7 1	1	0.5	0	14
ovo_Q6_no_cons 10 7 1	2	0.5	0	14
ovo_Q6_no_cons 10 7 1	3	0.5	0	14
ovo_Q6 10 8 1	1	0.5	0	14
ovo_Q6 10 8 1	2	0.5	0	14
ovo_Q6 10 8 1	3	0.5	0	14
ovo_Q6_no_cons 10 8 1	1	0.5	0	14
ovo_Q6_no_cons 10 8 1	2	0.5	0	14
ovo_Q6_no_cons 10 8 1	3	0.5	0	14
ovo_Q6 10 9 1	1	0.5	0	14
ovo_Q6 10 9 1	2	0.5	0	14
ovo_Q6 10 9 1	3	0.5	0	14
ovo_Q6_no_cons 10 9 1	1	0.5	0	14
ovo_Q6_no_cons 10 9 1	2	0.5	0	14
ovo_Q6_no_cons 10 9 1	3	0.5	0	14
ovo_Q6 10 10 1	1	0.5	0	14
ovo_Q6 10 10 1	2	0.5	0	14
ovo_Q6 10 10 1	3	0.5	0	14
ovo_Q6_no_cons 10 10 1	1	0.5	0	14
ovo_Q6_no_cons 10 10 1	2	0.5	0	14
ovo_Q6_no_cons 10 10 1	3	0.5	0	14
ovo_Q6 11 6 1	1	0.5	0	14
ovo_Q6 11 6 1	2	0.5	0	14
ovo_Q6 11 6 1	3	0.5	0	14
ovo_Q6_no_cons 11 6 1	1	0.5	0	14
ovo_Q6_no_cons 11 6 1	2	0.5	0	14
ovo_Q6_no_cons 11 6 1	3	0.5	0	14
ovo_Q6 11 7 1	1	0.5	0	14
ovo_Q6 11 7 1	2	0.5	0	14
ovo_Q6 11 7 1	3	0.5	0	14
ovo_Q6_no_cons 11 7 1	1	0.5	0	14
ovo_Q6_no_cons 11 7 1	2	0.5	0	14
ovo_Q6_no_cons 11 7 1	3	0.5	0	14
ovo_Q6 11 8 1	1	0.5	0	14
ovo_Q6 11 8 1	2	0.5	0	14
ovo_Q6 11 8 1	3	0.5	0	14
ovo_Q6_no_cons 11 8 1	1	0.5	0	14
ovo_Q6_no_cons 11 8 1	2	0.5	0	14
ovo_Q6_no_cons 11 8 1	3	0.5	0	14
ovo_Q6 11 9 1	1	0.5	0	14
ovo_Q6 11 9 1	2	0.5	0	14
ovo_Q6 11 9 1	3	0.5	0	14
ovo_Q6_no_cons 11 9 1	1	0.5	0	14
ovo_Q6_no_cons 11 9 1	2	0.5	0	14
ovo_Q6_no_cons 11 9 1	3	0.5	0	14
ovo_Q6 11 10 1	1	0.5	0	14
ovo_Q6 11 10 1	2	0.5	0	14
ovo_Q6 11 10 1	3	0.5	0	14
ovo_Q6_no_cons 11 10 1	1	0.5	0	14
ovo_Q6_no_cons 11 10 1	2	0.5	0	14
ovo_Q6_no_cons 11 10 1	3	0.5	0	14
ovo_Q6 11 11 1	1	0.5	0	14
ovo_Q6 11 11 1	2	0.5	0	14
ovo_Q6 11 11 1	3	0.5	0	14
ovo_Q6_no_cons 11 11 1	1	0.5	0	14
ovo_Q6_no_cons 11 11 1	2	0.5	0	14
ovo_Q6_no_cons 11 11 1	3	0.5	0	14
