ovo_Q6 12 5 1	1	0.49372	207	285
ovo_Q6 12 5 1	2	0.49372	124	308
ovo_Q6 12 5 1	3	0.49372	88	324
ovo_Q6_no_cons 12 5 1	1	0.50808	465	187
ovo_Q6_no_cons 12 5 1	2	0.50808	299	240
ovo_Q6_no_cons 12 5 1	3	0.50808	222	269
ovo_Q6 12 6 1	1	0.49372	207	285
ovo_Q6 12 6 1	2	0.49372	124	308
ovo_Q6 12 6 1	3	0.49372	88	324
ovo_Q6_no_cons 12 6 1	1	0.50808	465	187
ovo_Q6_no_cons 12 6 1	2	0.50808	299	240
ovo_Q6_no_cons 12 6 1	3	0.50808	222	269
ovo_Q6 12 7 1	1	0.500184	80	325
ovo_Q6 12 7 1	2	0.500184	30	338
ovo_Q6 12 7 1	3	0.500184	13	346
ovo_Q6_no_cons 12 7 1	1	0.510939	182	281
ovo_Q6_no_cons 12 7 1	2	0.510939	89	319
ovo_Q6_no_cons 12 7 1	3	0.510939	48	334
ovo_Q6 12 8 1	1	0.502845	51	333
ovo_Q6 12 8 1	2	0.502845	17	347
ovo_Q6 12 8 1	3	0.502845	9	348
ovo_Q6_no_cons 12 8 1	1	0.512969	113	304
ovo_Q6_no_cons 12 8 1	2	0.512969	41	335
ovo_Q6_no_cons 12 8 1	3	0.512969	23	342
ovo_Q6 12 9 1	1	0.502845	51	333
ovo_Q6 12 9 1	2	0.502845	17	347
ovo_Q6 12 9 1	3	0.502845	9	348
ovo_Q6_no_cons 12 9 1	1	0.512969	113	304
ovo_Q6_no_cons 12 9 1	2	0.512969	41	335
ovo_Q6_no_cons 12 9 1	3	0.512969	23	342
