3044314 + AC157543.3 1
3092097 + U6 1
3456668 + 1.3000001-3776472.1 1
3661579 - Xkr4 1
3669024 - U7 1
3670236 + Gm10568 1
3773879 - U7 1
4350473 - Rp1 1
4487435 - Sox17 1
4519098 + U6 1
4713460 - U6 1
4775820 - Mrpl15 1
4797869 + Lypla1 1
4847884 + Tcea1 1
4870732 - AC102311.1 1
4960938 + AC102242.1 1
5060366 - Rgs20 1
5073233 + Atp6v1h 1
5578574 + Oprk1 1
5907374 - Npbwr1 1
6196278 + Rb1cc1 1
6204671 - AC139064.2 1
6205373 - 4732440D04Rik 1
6349537 + AC139064.1 1
6477312 + St18 1
7079231 + Pcmtd1 1
7167820 + Gm9826 1
7255884 + SNORA17 1
7387950 - AC103380.1 1
7488080 + AC163387.1 1
8458906 - AC102786.2 1
8578805 - AC102703.1 1
8782243 - AC163389.1 1
8806219 + AC163389.1 1
8846348 - AC118192.1 1
8953702 - AC122738.1 1
9289959 - Sntg1 1
9448751 + U6 1
9535539 + Rrs1 1
9538029 + Adhfe1 1
9564629 + AC103620.1 1
9591280 + 3110035E14Rik 1
9621256 - AC103620.4 1
9690290 - Mybl1 1
9737729 + AC158928.2 1
9738463 - Vcpip1 1
9788234 + Sgk3 1
9792634 - AC158928.3 1
9824683 - U6 1
9898719 + 6030422M02Rik 1
9932630 - SNORD87 1
9934199 - AC102570.1 1
9951205 - Gm10567 1
9972468 + AC102570.3 1
9999217 - Lrrc67 1
9999998 - U6 1
10028208 - Cops5 1
10028299 + Cspp1 1
10156620 + 7SK 1
10222751 - Arfgef1 1
10545634 - AC102469.1 1
10545741 - U6 1
10685204 + AC102426.1 1
10710026 - Cpa6 1
10911751 + SNORA66 1
10983546 + Prex2 1
11124319 - SNORA40 1
11404186 + A830018L16Rik 1
11404193 + AC102654.1 1
12365017 + U6 1
12708610 + Sulf1 1
12981258 - Slco5a1 1
13052235 + AC118477.1 1
13117244 - Prdm14 1
13324690 - U6 1
13364164 - Ncoa2 1
13579945 - Tram1 1
13650627 - Lactb2 1
13658852 + Xkr9 1
13764545 - SNORA17 1
13922459 + 7SK 1
14300281 - Eya1 1
14745535 + Gm9947 1
14746047 - Msc 1
14830237 - Smt3h2-ps4 1
14855153 + AC121789.1 1
14908943 - Trpa1 1
15009240 - SNORA17 1
15057114 + AC123942.2 1
15259878 - AC166075.1 1
15676127 - SNORA17 1
15747913 + SNORA17 1
15795739 + Terf1 1
15869611 + 7SK 1
15882803 - Gm106 1
16083406 - 4930444P10Rik 1
16094743 - Rpl7 1
16095855 + Rdh10 1
16243673 + AC167117.2 1
16510193 - Stau2 1
16609570 - Ube2w 1
16646946 - Tceb1 1
16647633 + AC157362.1 1
16655272 + Tmem70 1
16678514 + Ly96 1
16987054 - AC135017.1 1
17087970 - Jph1 1
17135443 + Gdap1 1
17510082 + SNORA17 1
17591985 + Pi15 1
17717126 + Crispld1 1
17717727 - AC104917.1 1
18135983 - Crisp4 1
18213645 - Defb44 1
18227524 - Defb18 1
18255161 - AC168116.1 1
18255219 - Defb41 1
18959914 - SNORA17 1
19093103 + Tcfap2d 1
19094921 - AC098736.3 1
19144047 - Hmgb2 1
19198995 + Tcfap2b 1
19504000 - SNORD29 1
19911480 - AC163028.1 1
20371174 + AC101789.2 1
20434641 - AC101789.1 1
20434993 - U6 1
20608145 - Pkhd1 1
20669091 + mmu-mir-206 1
20672850 + mmu-mir-133b 1
20720986 + Il17a 1
20774351 - Il17f 1
20803095 + AC159614.2 1
