rouge 7 5 1	1	0.765873	7	4
rouge 7 5 1	2	0.765873	1	9
rouge 7 5 1	3	0.765873	0	12
rouge_nocons 7 5 1	1	0.843254	9	1
rouge_nocons 7 5 1	2	0.843254	2	7
rouge_nocons 7 5 1	3	0.843254	1	11
bleu 7 5 1	1	0.71627	3	7
bleu 7 5 1	2	0.71627	1	11
bleu 7 5 1	3	0.71627	1	11
bleu_nocons 7 5 1	1	0.700397	8	4
bleu_nocons 7 5 1	2	0.700397	4	8
bleu_nocons 7 5 1	3	0.700397	2	11
rouge 7 6 1	1	0.813492	5	4
rouge 7 6 1	2	0.813492	0	9
rouge 7 6 1	3	0.813492	0	12
rouge_nocons 7 6 1	1	0.884921	6	1
rouge_nocons 7 6 1	2	0.884921	1	9
rouge_nocons 7 6 1	3	0.884921	0	11
bleu 7 6 1	1	0.765873	1	7
bleu 7 6 1	2	0.765873	0	11
bleu 7 6 1	3	0.765873	0	11
bleu_nocons 7 6 1	1	0.809524	2	5
bleu_nocons 7 6 1	2	0.809524	1	10
bleu_nocons 7 6 1	3	0.809524	0	11
rouge 7 7 1	1	0.813492	5	4
rouge 7 7 1	2	0.813492	0	9
rouge 7 7 1	3	0.813492	0	12
rouge_nocons 7 7 1	1	0.85119	6	2
rouge_nocons 7 7 1	2	0.85119	1	9
rouge_nocons 7 7 1	3	0.85119	0	11
bleu 7 7 1	1	0.765873	1	7
bleu 7 7 1	2	0.765873	0	11
bleu 7 7 1	3	0.765873	0	11
bleu_nocons 7 7 1	1	0.759921	1	7
bleu_nocons 7 7 1	2	0.759921	1	10
bleu_nocons 7 7 1	3	0.759921	0	11
rouge 7 8 1	1	0.72619	3	7
rouge 7 8 1	2	0.72619	0	11
rouge 7 8 1	3	0.72619	0	13
rouge_nocons 7 8 1	1	0.785714	4	5
rouge_nocons 7 8 1	2	0.785714	0	10
rouge_nocons 7 8 1	3	0.785714	0	13
bleu 7 8 1	1	0.694444	1	9
bleu 7 8 1	2	0.694444	0	11
bleu 7 8 1	3	0.694444	0	11
bleu_nocons 7 8 1	1	0.694444	1	9
bleu_nocons 7 8 1	2	0.694444	0	11
bleu_nocons 7 8 1	3	0.694444	0	11
rouge 7 9 1	1	0.75	0	8
rouge 7 9 1	2	0.75	0	13
rouge 7 9 1	3	0.75	0	14
rouge_nocons 7 9 1	1	0.742063	2	7
rouge_nocons 7 9 1	2	0.742063	0	12
rouge_nocons 7 9 1	3	0.742063	0	14
bleu 7 9 1	1	0.619048	1	11
bleu 7 9 1	2	0.619048	0	13
bleu 7 9 1	3	0.619048	0	14
bleu_nocons 7 9 1	1	0.65873	1	10
bleu_nocons 7 9 1	2	0.65873	0	11
bleu_nocons 7 9 1	3	0.65873	0	14
combi_AND 7_7 7_6 1 1 0.5 0 9 
combi_AND_nocons 7_7 7_6 1 1 0.5 1 5
combi_OR 7_7 7_6 1 1 0.5 1 5
combi_OR_nocons 7_7 7_6 1 1 0.5 1 5
