rouge 7 5 1	1	0.758571	9	4
rouge 7 5 1	2	0.758571	2	9
rouge 7 5 1	3	0.758571	1	12
rouge_nocons 7 5 1	1	0.8	15	1
rouge_nocons 7 5 1	2	0.8	4	7
rouge_nocons 7 5 1	3	0.8	2	11
bleu 7 5 1	1	0.711429	4	7
bleu 7 5 1	2	0.711429	2	11
bleu 7 5 1	3	0.711429	1	11
bleu_nocons 7 5 1	1	0.73	10	4
bleu_nocons 7 5 1	2	0.73	4	8
bleu_nocons 7 5 1	3	0.73	2	11
rouge 7 6 1	1	0.792857	7	4
rouge 7 6 1	2	0.792857	1	9
rouge 7 6 1	3	0.792857	1	12
rouge_nocons 7 6 1	1	0.817143	13	1
rouge_nocons 7 6 1	2	0.817143	2	9
rouge_nocons 7 6 1	3	0.817143	1	11
bleu 7 6 1	1	0.748571	2	7
bleu 7 6 1	2	0.748571	1	11
bleu 7 6 1	3	0.748571	0	11
bleu_nocons 7 6 1	1	0.798571	3	5
bleu_nocons 7 6 1	2	0.798571	2	10
bleu_nocons 7 6 1	3	0.798571	1	11
rouge 7 7 1	1	0.812857	7	4
rouge 7 7 1	2	0.812857	0	9
rouge 7 7 1	3	0.812857	0	12
rouge_nocons 7 7 1	1	0.814286	12	2
rouge_nocons 7 7 1	2	0.814286	1	9
rouge_nocons 7 7 1	3	0.814286	0	11
bleu 7 7 1	1	0.771429	1	7
bleu 7 7 1	2	0.771429	0	11
bleu 7 7 1	3	0.771429	0	11
bleu_nocons 7 7 1	1	0.735714	3	7
bleu_nocons 7 7 1	2	0.735714	2	10
bleu_nocons 7 7 1	3	0.735714	0	11
rouge 7 8 1	1	0.75	5	6
rouge 7 8 1	2	0.75	0	11
rouge 7 8 1	3	0.75	0	13
rouge_nocons 7 8 1	1	0.741429	9	5
rouge_nocons 7 8 1	2	0.741429	0	10
rouge_nocons 7 8 1	3	0.741429	0	13
bleu 7 8 1	1	0.7	1	9
bleu 7 8 1	2	0.7	0	11
bleu 7 8 1	3	0.7	0	11
bleu_nocons 7 8 1	1	0.685714	2	9
bleu_nocons 7 8 1	2	0.685714	0	11
bleu_nocons 7 8 1	3	0.685714	0	11
rouge 7 9 1	1	0.715714	2	8
rouge 7 9 1	2	0.715714	0	13
rouge 7 9 1	3	0.715714	0	14
rouge_nocons 7 9 1	1	0.722857	4	7
rouge_nocons 7 9 1	2	0.722857	0	12
rouge_nocons 7 9 1	3	0.722857	0	14
bleu 7 9 1	1	0.664286	1	10
bleu 7 9 1	2	0.664286	0	11
bleu 7 9 1	3	0.664286	0	14
bleu_nocons 7 9 1	1	0.664286	1	10
bleu_nocons 7 9 1	2	0.664286	0	11
bleu_nocons 7 9 1	3	0.664286	0	14
combi 7_7 6_6 1 1 0.5 3 5
combi_nocons 7_7 6_6 1 1 0.5 4 5
